species,id,sex,population,host,RG,GB
chumash,778,F,HF5,MM,-0.024780599393626,0.238317202971555
chumash,549,M,HF5,MM,0.142239653715245,0.12
chumash,481,M,HF5,MM,0.057241293201267,0.213425047019452
chumash,724,F,HF5,MM,0.168339921821515,0.082598346423191
chumash,629,F,HF5,MM,-0.019694095865951,0.191020832052254
chumash,578,M,HF5,MM,0.149564769270854,0.136329626915479
chumash,376,M,HF5,MM,0.00168753433113,0.223189753268019
chumash,847,M,HF5,MM,-0.00064686284667,0.244131094695304
chumash,491,F,HF5,MM,-0.013937462839023,0.150269462527759
chumash,524,F,HF5,MM,-0.06046169247983,0.231001127935195
chumash,378,F,HF5,MM,-0.016323061911806,0.166289517170385
chumash,716,M,HF5,MM,0.017650614074722,0.206709266327167
chumash,651,M,HF5,MM,0.026344604791111,0.239334303057334
chumash,393,M,HF5,MM,0.00208822142266,0.199260677225365
chumash,385,M,HF5,MM,-0.014897764962923,0.234007337628707
chumash,802,M,HF5,MM,-0.016490750625554,0.2509817819582
chumash,850,M,HF5,MM,-0.020053879462334,0.226354112615775
chumash,559,F,HF5,MM,-0.072748591144888,0.15891158061361
chumash,484,M,HF5,MM,-0.010975148944391,0.212639614234475
chumash,408,F,HF5,MM,-0.010075658532391,0.158421187235373
chumash,668,M,HF5,MM,0.017451342678132,0.205725965792179
chumash,421,F,HF5,MM,-0.023433075598396,0.168954563830928
chumash,406,F,HF5,MM,0.128895498634256,0.09730875288844
chumash,876,M,HF5,MM,-0.024376351741648,0.238832642345632
chumash,863,F,HF5,MM,-0.044050789826832,0.161772863098753
chumash,811,M,HF5,MM,0.17095122065014,0.096999677384665
chumash,625,F,HF5,MM,-0.033268819208202,0.158915332991812
chumash,617,M,HF5,MM,-0.0034697377537,0.200924964702164
chumash,670,M,HF5,MM,0.016216819033682,0.209162301039393
chumash,718,F,HF5,MM,-0.03495174378027,0.183858122307577
chumash,568,F,HF5,MM,-0.032506973510131,0.203000977208965
chumash,810,M,HF5,MM,0.186128537196091,0.07836166989134
chumash,679,F,HF5,MM,0.17921873120665,0.111502022423107
chumash,871,M,HF5,MM,-0.042565421089693,0.228419150952057
chumash,777,F,HF5,MM,0.010056824515679,0.162959475633328
chumash,757,M,HF5,MM,0.134435045763687,0.084180557930847
chumash,791,F,HF5,MM,0.156367435365628,0.097448706154594
chumash,747,M,HF5,MM,0.022744914620282,0.213219977928226
chumash,793,F,HF5,MM,0.15082411351561,0.154950374885377
chumash,612,M,HF5,MM,-0.037939575515774,0.214336531954398
chumash,547,M,HF5,MM,-0.018214401896087,0.201604154348441
chumash,377,M,HF5,MM,0.017555239113994,0.223500263037317
chumash,471,F,HF5,MM,-0.066927883411413,0.190191803222839
chumash,626,M,HF5,MM,0.036272423268864,0.207059237540515
chumash,666,F,HF5,MM,-0.003423319345577,0.15641596710639
chumash,835,M,HF5,MM,-0.037150045285297,0.223610350384514
chumash,854,M,HF5,MM,-0.016162575064963,0.230906563759896
chumash,621,M,HF5,MM,-0.021626396209645,0.223987452291882
chumash,690,F,HF5,MM,0.136951645474698,0.110540054645364
chumash,701,M,HF5,MM,-0.024434461483997,0.219027623483528
chumash,693,M,HF5,MM,0.135531508038404,0.047768927196572
chumash,762,M,HF5,MM,-0.045831266043963,0.216260423670135
chumash,856,M,HF5,MM,-0.015908321779854,0.228206033450245
chumash,677,F,HF5,MM,-0.038565339419917,0.163436985138432
chumash,600,F,HF5,MM,-0.059638560848758,0.16171303049426
chumash,474,M,HF5,MM,0.008649500968356,0.187913099732672
chumash,708,M,HF5,MM,0.01535985105599,0.229453867415738
chumash,415,F,HF5,MM,-0.069252400717145,0.181284308455164
chumash,640,M,HF5,MM,0.027755880781555,0.186326300965575
chumash,394,F,HF5,MM,-0.031845299009241,0.162308153405549
chumash,511,F,HF5,MM,-0.035236677901291,0.160928911185247
chumash,607,M,HF5,MM,0.041853306957898,0.21104632570655
chumash,448,F,HF5,MM,0.000383476712505,0.164909067897116
chumash,544,M,HF5,MM,0.014460582846191,0.189891017783077
chumash,673,M,HF5,MM,0.143182169564899,0.052480488741044
chumash,742,M,HF5,MM,0.005839961624703,0.198220501210926
chumash,691,M,HF5,MM,-0.002098174011131,0.236338880005066
chumash,389,M,HF5,MM,-0.034688858078806,0.183764338417252
chumash,834,M,HF5,MM,-0.057101509707011,0.152441643394218
chumash,664,M,HF5,MM,0.149873529212494,0.125276515604448
chumash,705,F,HF5,MM,0.006174201269586,0.184149957697078
chumash,493,F,HF5,MM,-0.093534798444773,0.133896473690291
chumash,694,F,HF5,MM,-0.002079298331327,0.162604972552777
chumash,379,M,HF5,MM,-0.001831052268081,0.169655889326375
chumash,495,F,HF5,MM,-0.00832712621206,0.194086766487454
chumash,734,M,HF5,MM,0.008694969068116,0.205740666718689
chumash,494,M,HF5,MM,0.011541089474438,0.180985078655532
chumash,855,F,HF5,MM,-0.044974506094735,0.142700579309589
chumash,431,M,HF5,MM,0.147799204840733,0.070318959637565
chumash,489,M,HF5,MM,0.020660193221296,0.204782200147661
chumash,686,M,HF5,MM,0.171409045457488,0.098870234367696
chumash,564,F,HF5,MM,0.160735619823394,0.147267678389578
chumash,627,F,HF5,MM,-0.049718445268507,0.153076916483083
chumash,502,M,HF5,MM,-0.000247310319493,0.1857540127489
chumash,588,M,HF5,MM,0.017705581757534,0.228818309127566
chumash,727,M,HF5,MM,0.018906369439911,0.218379782559892
chumash,784,F,HF5,MM,-0.052661140497602,0.119440506196177
chumash,641,F,HF5,MM,0.007211585678969,0.177976104266239
chumash,556,F,HF5,MM,-0.010995697335825,0.173134080693415
chumash,458,F,HF5,MM,-0.02789511541228,0.152820195238018
chumash,880,M,HF5,MM,0.013769124915521,0.200067374984725
chumash,735,F,HF5,MM,0.157871567159793,0.126398672463487
chumash,642,M,HF5,MM,-0.001987102631693,0.211030513152801
chumash,572,M,HF5,MM,0.009308915673136,0.186371459789
chumash,768,F,HF5,MM,0.144298716357999,0.130619900999559
chumash,769,F,HF5,MM,0.12824821690972,0.120254537565984
chumash,721,F,HF5,MM,-0.006862689155392,0.163788513231999
chumash,381,M,HF5,MM,0.015336125336342,0.189665173377728
chumash,657,F,HF5,MM,-0.011521469203893,0.162026228244489
chumash,796,M,HF5,MM,0.134041711181431,0.066289669890272
chumash,598,F,HF5,MM,-0.014159860945443,0.137485198961834
chumash,758,F,HF5,MM,-0.019696941301299,0.147065214923505
chumash,822,F,HF5,MM,-0.03290059965619,0.168228917738784
chumash,445,F,HF5,MM,-0.001485233277189,0.177814131222059
chumash,452,F,HF5,MM,0.007995073217463,0.141082776979301
chumash,391,M,HF5,MM,0.024634114954004,0.198416906771269
chumash,825,M,HF5,MM,-0.032811064090491,0.188205139082183
chumash,858,M,HF5,MM,-0.012452449567724,0.193045905580798
chumash,505,F,HF5,MM,0.006796094173868,0.163356576862124
chumash,441,F,HF5,MM,-0.027946227776721,0.170796589866449
chumash,575,M,HF5,MM,0.161377320159514,0.08849454149935
chumash,606,F,HF5,MM,-0.009745859851752,0.149088684217473
chumash,862,M,HF5,MM,0.008247538094178,0.198267969813188
chumash,603,M,HF5,MM,0.030952853646245,0.173454154197909
chumash,553,F,HF5,MM,-0.035680968727326,0.128294034909422
chumash,590,M,HF5,MM,-0.00694783265236,0.214274444838875
chumash,696,F,HF5,MM,-0.003067373967017,0.159304502567335
chumash,507,M,HF5,MM,-0.028812469713653,0.20440566442569
chumash,682,M,HF5,MM,0.031256484923781,0.164328203222173
chumash,523,M,HF5,MM,-0.002852366596955,0.190864903834973
chumash,659,M,HF5,MM,0.005630775610543,0.197803399702571
chumash,570,F,HF5,MM,0.002808674380306,0.147787466759092
chumash,636,M,HF5,MM,0.043507914479904,0.190612769360876
chumash,808,F,HF5,MM,0.147495111926898,0.136693972762626
chumash,743,F,HF5,MM,-0.027084997615139,0.131356922407472
chumash,427,F,HF5,MM,-0.015440271768758,0.144598074610786
chumash,719,M,HF5,MM,0.021914762070524,0.196991228655813
chumash,536,M,HF5,MM,0.016157866149165,0.195096367115873
chumash,720,F,HF5,MM,-0.024814389503485,0.154663673324291
chumash,610,F,HF5,MM,-0.023686330878699,0.148585585429506
chumash,383,F,HF5,MM,0.096832293051709,0.077550058099392
chumash,599,M,HF5,MM,-0.007998581323763,0.201686227303062
chumash,703,M,HF5,MM,-0.030645187677575,0.177475678555074
chumash,870,F,HF5,MM,-0.032529812868358,0.179393765421543
chumash,656,M,HF5,MM,0.035343994917705,0.193692414565395
chumash,605,M,HF5,MM,0.012655305394752,0.174445708318571
chumash,434,F,HF5,MM,-0.049869038218402,0.16293394216813
chumash,412,F,HF5,MM,0.145552154800816,0.092603036617635
chumash,731,M,HF5,MM,0.064693555163646,0.181451710470918
chumash,763,M,HF5,MM,0.00402061029981,0.161918050555009
chumash,867,M,HF5,MM,0.000303377327601,0.196881570013334
chumash,508,M,HF5,MM,-0.004297840196014,0.201506106738882
chumash,789,F,HF5,MM,-0.070505999881776,0.137677528988091
chumash,525,F,HF5,MM,-0.002286950838157,0.152983852764169
chumash,722,F,HF5,MM,-0.029205160302501,0.119693863605303
chumash,790,M,HF5,MM,0.160626295051536,0.061644437382584
chumash,775,M,HF5,MM,-0.017182803595958,0.172143903834249
chumash,614,M,HF5,MM,0.013727560718057,0.162801682273102
chumash,374,M,HF5,MM,0.095330200877431,0.074938725049775
chumash,478,F,HF5,MM,0.132177967230585,0.087686199607983
chumash,613,F,HF5,MM,-0.026694137344411,0.146234759382407
chumash,535,F,HF5,MM,-0.025160513074906,0.135180776214787
chumash,638,F,HF5,MM,-0.025429259530919,0.145302839228638
chumash,788,F,HF5,MM,-0.058198062824939,0.145724416187798
chumash,573,F,HF5,MM,0.008869278548339,0.153911846266747
chumash,695,F,HF5,MM,-0.062924535343734,0.176165992397998
chumash,698,F,HF5,MM,0.116975980223984,0.16469392246015
chumash,485,F,HF5,MM,0.131123613162775,0.114969323767748
chumash,803,M,HF5,MM,0.013797789542017,0.171259504186343
chumash,526,F,HF5,MM,-0.003510007342084,0.172669282046375
chumash,829,F,HF5,MM,0.014080459012417,0.144099873016844
chumash,587,M,HF5,MM,0.019149131276735,0.165151253019614
chumash,372,M,HF5,MM,0.021631361737816,0.173103314377125
chumash,841,M,HF5,MM,0.012040878275827,0.149132112728087
chumash,609,M,HF5,MM,0.012197603055801,0.169017004069241
chumash,546,M,HF5,MM,-0.001439147544028,0.174863440498502
chumash,800,M,HF5,MM,0.132270463747351,0.121171023547377
chumash,594,F,HF5,MM,-0.020913796464074,0.150068962825134
chumash,689,F,HF5,MM,-0.003690500408918,0.152008073665933
chumash,683,F,HF5,MM,-0.016298468254639,0.153514611933582
chumash,685,M,HF5,MM,0.022620346101877,0.179814197072941
chumash,492,F,HF5,MM,0.001340965467742,0.123010335320303
chumash,805,M,HF5,MM,0.012509148711554,0.188448271975111
chumash,730,F,HF5,MM,0.153924628813911,0.091810024673229
chumash,713,F,HF5,MM,-0.034120832894451,0.155182146256168
chumash,480,F,HF5,MM,-0.008178461224383,0.141778337389827
chumash,715,F,HF5,MM,-0.048587938710406,0.146351988475489
chumash,881,F,HF5,MM,-0.011143438928052,0.149170729167145
chumash,869,F,HF5,MM,-0.026829050578535,0.131744240743531
chumash,709,M,HF5,MM,0.013516613772799,0.165448869457194
chumash,442,F,HF5,MM,-0.025497257796972,0.129451265676948
chumash,700,M,HF5,MM,0.030700966160342,0.188568094206452
chumash,534,F,HF5,MM,0.141227962442861,0.083918752257071
chumash,767,F,HF5,MM,0.120798320681315,0.10229786079064
chumash,410,F,HF5,MM,-0.04889327692452,0.114252153612662
chumash,496,M,HF5,MM,0.009398029700725,0.164948242158226
chumash,729,F,HF5,MM,-0.019678527949347,0.168492638861268
chumash,836,M,HF5,MM,-0.022265685370624,0.141581017788384
chumash,837,F,HF5,MM,-0.008336386716872,0.159840622683469
chumash,809,F,HF5,MM,0.121062040685782,0.137047781227469
chumash,446,F,HF5,MM,-0.032263570468221,0.137941670907941
chumash,801,M,HF5,MM,0.080349946511526,0.079500398215855
chumash,665,M,HF5,MM,0.042236565163351,0.160295605076838
chumash,739,M,HF5,MM,0.006594368551638,0.174441476179937
chumash,723,F,HF5,MM,-0.001455160793113,0.13642713578488
chumash,860,F,HF5,MM,-0.061081998994235,0.126972724767546
chumash,476,F,HF5,MM,-0.063546947896414,0.096544707356568
chumash,853,M,HF5,MM,0.022475285530701,0.152875989705586
chumash,786,F,HF5,MM,0.12003616039873,0.077571722102414
chumash,815,F,HF5,MM,-0.020461280152427,0.159171996514362
chumash,883,F,HF5,MM,0.020009299501593,0.139829353213818
chumash,819,F,HF5,MM,-0.03881209633609,0.137405284109248
chumash,630,M,HF5,MM,0.011994371821622,0.179447895657687
chumash,766,F,HF5,MM,-0.006779313087769,0.156762302633809
chumash,654,F,HF5,MM,0.000011,0.126216726817059
chumash,655,F,HF5,MM,-0.017524400166783,0.123778894831828
chumash,741,M,HF5,MM,0.124716185087229,0.072547002782227
chumash,426,F,HF5,MM,-0.004470798499147,0.121368420261875
chumash,824,M,HF5,MM,-0.034211893661696,0.205384266963544
chumash,832,M,HF5,MM,0.016243069201513,0.146326984446064
chumash,538,M,HF5,MM,-0.03519629597956,0.151329577765615
chumash,772,F,HF5,MM,-0.035151700845281,0.113733761476851
chumash,407,M,HF5,MM,0.016774115289133,0.128081770405831
chumash,878,M,HF5,MM,-0.000563328279215,0.161696427164268
chumash,782,F,HF5,MM,-0.0053823822339,0.173119866480192
chumash,884,M,HF5,MM,0.044850151660066,0.169038716491727
chumash,838,M,HF5,MM,0.047479894556767,0.170443715317208
chumash,799,M,HF5,MM,0.149712016559048,0.070222014555546
chumash,776,F,HF5,MM,-0.06079259015764,0.119709768447298
chumash,483,M,HF5,MM,0.00894379020479,0.148645631730684
chumash,816,F,HF5,MM,0.014638194728037,0.121140448697195
chumash,503,F,HF5,MM,-0.006076035122447,0.116446391784366
chumash,753,F,HF5,MM,-0.000996546289776,0.120749050171945
chumash,597,M,HF5,MM,0.027682569110396,0.166318292047997
chumash,812,F,HF5,MM,0.136849063959114,0.078625008276815
chumash,840,F,HF5,MM,-0.000718387131411,0.156427213493005
chumash,872,F,HF5,MM,-0.025323779185946,0.130877115173128
chumash,403,F,HF5,MM,-0.028360353540664,0.108810952891262
chumash,487,F,HF5,MM,-0.031477428667687,0.11824811882717
chumash,405,M,HF5,MM,-0.021194176761022,0.138344168746069
chumash,839,F,HF5,MM,-0.063327146130743,0.097383416464531
chumash,419,F,HF5,MM,0.005809602452439,0.109452736318408
chumash,787,F,HF5,MM,-0.004436497447459,0.108072218720206
chumash,814,F,HF5,MM,0.114229989379164,0.074469397539185
chumash,764,F,HF5,MM,0.007280120498546,0.101085158887884
chumash,684,F,HF5,MM,-0.012776983321749,0.121141549953865
chumash,678,F,HF5,MM,0.121065162265479,0.06073519972741
chumash,785,M,HF5,MM,0.027047782921023,0.15522946473895
chumash,704,F,HF5,MM,-0.001459083485551,0.120339441529033
chumash,561,M,HF5,MM,-0.005852138882719,0.132159977281917
chumash,745,M,HF5,MM,0.019249444284131,0.149182410911275
chumash,760,M,HF5,MM,0.076499197601342,0.079528327579237
chumash,751,M,HF5,MM,0.01015671246534,0.138850968877047
chumash,589,M,HF5,MM,0.005851295625558,0.16193639945531
chumash,817,M,HF5,MM,0.026011890853389,0.142944624533866
chumash,414,M,HF5,MM,0.010974822466107,0.155340646737491
chumash,702,F,HF5,MM,-0.012986317723788,0.126813697904105
chumash,780,F,HF5,MM,-0.026106561926763,0.124128405300222
chumash,482,M,HF5,MM,-0.013128910512729,0.142009218725231
chumash,687,M,HF5,MM,-0.021219271032242,0.146844683366748
chumash,874,M,HF5,MM,0.040971117362335,0.152250227472451
chumash,548,M,HF5,MM,0.025040557959898,0.174700707318406
chumash,828,M,HF5,MM,0.014840363889573,0.151655270076534
chumash,851,M,HF5,MM,0.004542806599362,0.13607890258556
chumash,813,M,HF5,MM,0.090426347095184,0.091149078326893
chumash,807,M,HF5,MM,0.089579797705519,0.062114122980135
chumash,639,M,HF5,MM,0.035781563655233,0.11347202417152
chumash,830,M,HF5,MM,0.001225073070303,0.128341088795239
chumash,831,M,HF5,MM,-0.026656818453183,0.133517484103967
chumash,848,M,HF5,MM,0.007652465759474,0.140514971171359
chumash,843,M,HF5,MM,0.017656309815729,0.136365812497756
chumash,417,F,HF5,MM,-0.036295866720031,0.112147429997341
chumash,645,F,HF5,MM,-0.005980132834831,0.090218951613493
chumash,792,F,HF5,MM,0.106426875267193,0.067600612921063
chumash,868,M,HF5,MM,0.03000808775211,0.141705029711217
chumash,711,F,HF5,MM,-0.007264979608909,0.109252914927307
chumash,882,F,HF5,MM,-0.007492248731318,0.126592839696526
chumash,849,M,HF5,MM,-0.003229148631528,0.108707371630846
chumash,797,M,HF5,MM,0.028098917194186,0.093058030972922
chumash,818,M,HF5,MM,-0.003091906832631,0.110287940893679
chumash,646,M,HF5,MM,0.003766497436196,0.121799811627708
chumash,806,M,HF5,MM,-0.000435710540503,0.100125466438743
